Host,Search Term to be pasted in query field,Searcher,WOS,Notes
Stellaria diffusa,"TI=""Stellaria diffusa"" OR AB=""Stellaria diffusa"" OR AK=""Stellaria diffusa""",Isabelle,0,
Stellaria bungeana,"TI=""Stellaria bungeana"" OR AB=""Stellaria bungeana"" OR AK=""Stellaria bungeana""",Isabelle,2,
Cerastium pauciflorum,"TI=""Cerastium pauciflorum"" OR AB=""Cerastium pauciflorum"" OR AK=""Cerastium pauciflorum""",Isabelle,0,
Stellaria radians,"TI=""Stellaria radians"" OR AB=""Stellaria radians"" OR AK=""Stellaria radians""",Isabelle,0,
Arenaria digyna,"TI=""Arenaria digyna"" OR AB=""Arenaria digyna"" OR AK=""Arenaria digyna""",Isabelle,0,
Silene nicaeensis,"TI=""Silene nicaeensis"" OR AB=""Silene nicaeensis"" OR AK=""Silene nicaeensis""",Isabelle,2,
Cerastium latifolium,"TI=""Cerastium latifolium"" OR AB=""Cerastium latifolium"" OR AK=""Cerastium latifolium""",Isabelle,0,
Silene andicola,"TI=""Silene andicola"" OR AB=""Silene andicola"" OR AK=""Silene andicola""",Isabelle,0,
Cerastium holosteoides,"TI=""Cerastium holosteoides"" OR AB=""Cerastium holosteoides"" OR AK=""Cerastium holosteoides""",Isabelle,13,
Dianthus japonicus,"TI=""Dianthus japonicus"" OR AB=""Dianthus japonicus"" OR AK=""Dianthus japonicus""",Isabelle,9,
Silene heuffelii,"TI=""Silene heuffelii"" OR AB=""Silene heuffelii"" OR AK=""Silene heuffelii""",Isabelle,0,
Silene claviformis,"TI=""Silene claviformis"" OR AB=""Silene claviformis"" OR AK=""Silene claviformis""",Isabelle,1,
Silene legionensis,"TI=""Silene legionensis"" OR AB=""Silene legionensis"" OR AK=""Silene legionensis""",Isabelle,0,
Silene suecica,"TI=""Silene suecica"" OR AB=""Silene suecica"" OR AK=""Silene suecica""",Isabelle,4,
Stellaria kotschyana,"TI=""Stellaria kotschyana"" OR AB=""Stellaria kotschyana"" OR AK=""Stellaria kotschyana""",Isabelle,0,
Silene wolgensis,"TI=""Silene wolgensis"" OR AB=""Silene wolgensis"" OR AK=""Silene wolgensis""",Isabelle,2,
Silene radicosa,"TI=""Silene radicosa"" OR AB=""Silene radicosa"" OR AK=""Silene radicosa""",Isabelle,0,
Stellaria dichotoma,"TI=""Stellaria dichotoma"" OR AB=""Stellaria dichotoma"" OR AK=""Stellaria dichotoma""",Isabelle,22,
Spergula grandis,"TI=""Spergula grandis"" OR AB=""Spergula grandis"" OR AK=""Spergula grandis""",Isabelle,0,
Silene persica,"TI=""Silene persica"" OR AB=""Silene persica"" OR AK=""Silene persica""",Isabelle,0,
Cerastium subtetrandrum,"TI=""Cerastium subtetrandrum"" OR AB=""Cerastium subtetrandrum"" OR AK=""Cerastium subtetrandrum""",Isabelle,1,
Silene foliosa,"TI=""Silene foliosa"" OR AB=""Silene foliosa"" OR AK=""Silene foliosa""",Isabelle,1,
Silene fortunei,"TI=""Silene fortunei"" OR AB=""Silene fortunei"" OR AK=""Silene fortunei""",Isabelle,2,
Gypsophila acutifolia,"TI=""Gypsophila acutifolia"" OR AB=""Gypsophila acutifolia"" OR AK=""Gypsophila acutifolia""",Isabelle,0,
Dianthus membranaceus,"TI=""Dianthus membranaceus"" OR AB=""Dianthus membranaceus"" OR AK=""Dianthus membranaceus""",Isabelle,0,
